"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Taxas e Condicoes","[TC.5.1.0][MSG] Exibir Taxas Pix na SafraPay","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","Chamada de API","Chamada de API","Consulta Máquinas e traz compradas.","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][MSG] Lista número S (Maquina< = 10)","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","Vendas Online - Amex e Hiper","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","Vendas Físicas - Amex e Hiper","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][MSG] Sem máquinas","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","Track ""SPD Taxas e Condicoes {{state.name}} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","Track ""SPD Taxas e Condicoes {{state.name}} tamanho array dados""","SPD Taxas e Condicoes {{state.name}} tamanho array dados","{{tamanhoRetornoDomicilio@bodyDomicilio}} | {{tamanhoRetornoDomicilio@bodyGeraldomicilio}} | {{tamanhoRetornoDomicilio@Erro}}","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","Tracking ""api resumo""","SPD Taxas e Condicoes {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/safra-pay/v1/domicilios?idEstabelecimento={{selectedEc@codigoEc}} | GET| {{statusDomicilio}} | {{bodyDomicilio}}","Sem condicionais para execução"
