"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Solucoes","[S.3.8.4][MSG] Boleto com QR Code PIX 4","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.3.7.1][MSG] Boleto Ativado Botão","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.3.7.1][INPUT] Boleto Ativado Botão","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Solucoes","[S.3.7.1][INPUT] Boleto Ativado Botão","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Solucoes","[S.3.7.2][MSG] Video Venda por Boleto","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.2.1.1][MSG] Mensagem Status Protocolo Encerrado","Track ""SPD Solucoes {state.name} exibicao""","SPD Solucoes {{state.name}} exibicao","Exibicao","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.2.0.5][MSG] Protocolo Não Encontrado","Track ""SPD Solucoes {state.name} exibicao""","SPD Solucoes {{state.name}} exibicao","Exibicao","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.2.0.3][SET] statusProtocolo / msgProtocolo","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibicao","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.2.0.3][SET] statusProtocolo / msgProtocolo","Track ""{state.name} validacao""","{{state.name}} validacao","{{statusProtocolo}}","context exists variable: statusProtocolo "
"[BETA] SPD Solucoes","[S.2.0.3][SET] statusProtocolo / msgProtocolo","Track ""{state.name} validacao dados""","{{state.name}} validacao dados","{{contaSelecionado@doc}} | {{numeroProtocolo}} | {{statusProtocolo}}","context exists variable: statusProtocolo "
"[BETA] SPD Solucoes","[S.2.0.2][SET] cnpjLiberado","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibicao","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.2.0.2][SET] cnpjLiberado","Track ""{state.name} validacao dados""","{{state.name}} validacao dados","{{numeroProtocolo}} | {{contaSelecionada@doc}} | {{cnpjLiberado}}","Sem condicionais para execução"
"[BETA] SPD Solucoes","[S.2.0.6][MSG] CNPJ não correnponde","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibicao","Sem condicionais para execução"
