"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.2][INPUT] Resposta foi util","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.5.3.0][MSG] Cancelar Venda","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.0][INPUT] Cancelar Venda","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.5.3.0][INPUT] Cancelar Venda","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.5.4.0][MSG] Instrucoes sem senha","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.4.0][INPUT] Instrucoes sem senha","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.5.4.0][INPUT] Instrucoes sem senha","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.5.3.1][MSG] Qual transacao","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.1][INPUT] Qual trasacao","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.5.3.1][INPUT] Qual trasacao","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
