"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] SPD Maquina Safrapay","[MS.8.2.0][MSG] Seleciona modelo de maquina","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.3.0][MSG] Device lock/Security","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.3.0][INPUT] Device lock/Security","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.5.0][MSG] Seleciona modelo de maquina","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.5.0][INPUT] Seleciona modelo de maquina","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.7.0][MSG] Sem SIM Card","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.7.0][INPUT] Sem SIM Card","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.8.0][MSG] Venda por aproximação","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.8.0][INPUT] Venda por aproximação","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[GO TO][MS.7.2.4] Data das transações","Process ""nrTransacao""","[""quantidade"",""nrTransacao""]","nrTransacao","context equals variable: userInput value: Sim"
"[DEV] SPD Maquina Safrapay","[GO TO][MS.7.2.4] Data das transações","Process ""quantidade""","[""quantidade""]","quantidade","context equals variable: userInput value: Sim"
"[DEV] SPD Maquina Safrapay","[MS.7.2.4][INPUT] Confirma transação","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.2.4][INPUT] Confirma transação","Process ""transacoesNaoAutorizadas""","[""transacoesNaoAutorizadas"",""dataTransacao"",""horarioTransacao"",""valorTransacao"",""nrTransacao"",""debitoMotivo"",""motivo"",""quantidade"",""contaSelecionada"",""contact.identity""]","transacoesNaoAutorizadas","context equals variable: userInput value: Sim"
"[DEV] SPD Maquina Safrapay","[MS.9.0.0][MSG] Menu Erros gerais","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Menu Erros gerais","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.5.0][MSG] Menu Acessar arquivo","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][MSG] Menu Ethernet","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.3.0][MSG] Menu Discado","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.2.0][MSG] Menu Torre de celular com X","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.1.0][MSG] Menu Erro desfazimento","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.5.0][INPUT] Menu Acessar arquivo","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][INPUT] Menu Ethernet","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.3.0][INPUT] Menu Discado","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.2.0][INPUT] Menu Torre de celular com X","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.1.0][INPUT] Menu Erro desfazimento","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Process ""payloadProtocolo""","[""contaSelecionada""]","payloadProtocolo","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Process ""idProtocoloBpm"" (Pega Id do protocolo BPM)","[""bodyProtocoloBpm""]","idProtocoloBpm","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Process ""payloadOcorrencia"" (Gera payload ocorrencia)","[""contaSelecionada"",""contact.identity"",""transacoesNaoAutorizadas""]","payloadOcorrencia","context equals variable: statusProtocoloBpm value: 200"
"[DEV] SPD Maquina Safrapay","[MS.7.4.0][MSG] Status Protocolo Aberto","Process ""dynamicContent"" (DadosDoProtocolo)","[""bodyConsultaProtocolo""]","dynamicContent","Sem condicionais para execução"
