"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.0][MSG] Quantidade de transações","Process ""msg""","[""debitoMotivo""]","msg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.1][MSG] Data das transações","Process ""msg""","[""nrTransacao"",""quantidade""]","msg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.1][INPUT] Data das transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.2][INPUT] Horario das transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.3][INPUT] Valor das transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.3][INPUT] Valor das transações","Process ""valorTransacao""","[""input.content""]","valorTransacao","context equals variable: userInput value: É um valor válido"
"[BETA] SPD Maquina Safrapay","[MS.7.2.4][MSG] Confirma transaçao","Process ""msg""","[""nrTransacao"",""dataTransacao"",""horarioTransacao"",""valorTransacao"",""quantidade""]","msg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.2.4][MSG] Confirma transaçao","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.8.0.0][MSG] Menu Configurações","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.8.0.0][INPUT] Menu Configurações","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.8.2.0][INPUT] Seleciona modelo de maquina","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
