"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","Process ""tamanhoRetornoDomicilio""","[""bodyDomicilio"",""bodyGeraldomicilio""]","tamanhoRetornoDomicilio","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","Process ""apiStatus""","[""statusDomicilio"",""statusGeraldomicilio""]","apiStatus","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.8.0.0][HTTP] API Pacotes","Process ""apiStatus""","[""statusPacote""]","apiStatus","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.8.2.0][MSG] Possui pacotes","Process ""pacote""","[""bodyPacote""]","pacote","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.3.0][INPUT] Solicita valor da cobrança","Process ""userInput""","[""input.content"",""input.message""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.0.2][MSG] Origem da cobrança","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.1.0][MSG] Onde visualizou a cobrança","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.0.1] [MSG] Selecao Bandeira","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][MSG] Modalidade de venda","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.1.0][MSG] Selecionar outra bandeira","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.1.0][INPUT] Selecionar outra bandeira","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.2.1][MSG] Consultar Taxas","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.2.2][MSG] Taxa atual","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.2.3][MSG] Questionar Transferência","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.1.0][MSG] Selecionar bandeira","Process ""dynamicContent""","[""bodyDomicilio""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.1.0][INPUT] Selecionar bandeira","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.1.0][INPUT] Selecionar bandeira","Process ""domicilioDados""","[""bodyDomicilio"",""bodyGeralDomicilio"",""taxCardFlag""]","domicilioDados","context equals variable: userInput value: Visa,Master,Elo,Hiper,Amex"
"[DEV] SPD Taxas e Condicoes","[TC.6.2.0][MSG] Prosseguir","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.6.2.0][INPUT] Prosseguir","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.0.0][INPUT] Questionar uma cobrança","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
