"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","motivo","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","motivoProtocolo","transacaoNaoAutorizadaIBouApp",""
"[BETA] SPD Maquina Safrapay","[MS.7.1.0][MSG] Débito (motivo)","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.1.0][MSG] Débito (motivo)","motivoProtocolo","transacaoNaoAutorizadaDebito",""
"[BETA] SPD Maquina Safrapay","[MS.7.1.0][INPUT] Débito (motivo)","debitoMotivo","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.7.1.0][INPUT] Débito (motivo)","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.0][MSG] Quantidade de transações","msg","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","quantidade","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","nrTransacao","1",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","exceptionType","MS.7.2.0",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.1][MSG] Data das transações","msg","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.1][INPUT] Data das transações","exceptionType","data",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.1][INPUT] Data das transações","dataTransacao","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.2][INPUT] Horario das transações","horarioTransacao","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.2][INPUT] Horario das transações","exceptionType","hora",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.3][INPUT] Valor das transações","exceptionType","valor",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.4][MSG] Confirma transaçao","msg","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.4][MSG] Confirma transaçao","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.8.0.0][MSG] Menu Configurações","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.8.0.0][INPUT] Menu Configurações","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.8.2.0][INPUT] Seleciona modelo de maquina","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.8.2.0][MSG] Seleciona modelo de maquina","dynamicContent","Execução de script",""
