"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Taxas e Condicoes","[TC.2.1.0][MSG] Selecionar outra bandeira","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.2.1.0][INPUT] Selecionar outra bandeira","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[TC.2.2.1][MSG] Consultar Taxas","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.2.2.2][MSG] Taxa atual","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.2.2.3][MSG] Questionar Transferência","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.6.1.0][MSG] Selecionar bandeira","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.6.1.0][INPUT] Selecionar bandeira","taxCardFlag","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.6.1.0][INPUT] Selecionar bandeira","exceptionType","lista",""
"[BETA] SPD Taxas e Condicoes","[TC.6.2.0][MSG] Prosseguir","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.6.2.0][INPUT] Prosseguir","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[TC.7.0.0][INPUT] Questionar uma cobrança","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[TC.7.0.1][INPUT] Outro Motivo","motivoChamado","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.7.0.2][INPUT] Origem da cobrança","origemCobranca","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.7.0.2][INPUT] Origem da cobrança","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[TC.7.1.0][INPUT] Onde visualizou a cobrança","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[TC.7.1.0][INPUT] Onde visualizou a cobrança","localVisualizacaoCobranca","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.7.2.0][INPUT] Solicita data da cobrança","exceptionType","data",""
"[BETA] SPD Taxas e Condicoes","[TC.7.2.0][INPUT] Solicita data da cobrança","dataCobranca","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.4.1.0][INPUT] Sem máquinas","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[TC.4.1.0][INPUT] Sem máquinas","pesquisa","resolutividade",""
"[BETA] SPD Taxas e Condicoes","[TC.4.2.0][INPUT] Numero de Série","exceptionType","numeroSerie",""
"[BETA] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","exceptionType","quickReply",""
